header,type,class,mechanism,group,snp
MEG_737|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,
MEG_11287|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_11286|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_2988|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3003|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_3015|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,Drugs,Fosfomycin,Fosfomycin phosphorylation,FOMB,
MEG_2999|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2983|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11241|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_8092|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSM,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSM,
MEG_11249|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSU,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSU,
MEG_3011|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3002|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3027|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_2992|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3018|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSD,
MEG_11313|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_2989|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_8090|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSL,
MEG_2994|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2986|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11243|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3010|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_2997|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3006|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3004|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_11242|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3000|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11312|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3019|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSE,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSE,
MEG_3017|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSC,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSC,
MEG_11244|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11247|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2982|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_370|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAQ,Drugs,Fosfomycin,Fosfomycin MFS efflux pump,ABAQ,
MEG_8093|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSM,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSM,
MEG_3028|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_2990|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2974|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,Drugs,Fosfomycin,Fosfomycin phosphorylation,FOMB,
MEG_2993|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_7687|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_3597|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LMRD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LMRD,
MEG_1727|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBB,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CLBB,
MEG_11472|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MEXC1,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,MEXC1,
MEG_8689|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALC,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SALC,
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR,
MEG_2731|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,Drugs,Multi-drug resistance,Multi-drug SMR efflux regulator,EMRE,
MEG_10191|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SALD,
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,HNS,
MEG_11308|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,Drugs,Multi-drug resistance,Multi-drug SMR efflux regulator,EMRE,
MEG_8638|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|POXT,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,POXT,
MEG_4102|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,MUXC,
MEG_4317|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_2670|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|DRRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,DRRA,
MEG_4321|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_4211|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|NORBD,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,NORBD,
MEG_6084|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|ROSB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,ROSB,
MEG_5809|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|POXT,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,POXT,
MEG_8451|Drugs|Multi-drug_resistance|MDR_regulator|PARR,Drugs,Multi-drug resistance,MDR regulator,PARR,
MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPMH,
MEG_7678|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_1682|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRA,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRA,
MEG_4312|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_4316|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_4291|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPCM,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPCM,
MEG_1115|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR,
MEG_3657|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MACA,
MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_11432|Drugs|Multi-drug_resistance|ABC-F_ribosomal_protection_protein|VGAF,Drugs,Multi-drug resistance,ABC-F ribosomal protection protein,VGAF,
MEG_3265|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HLYD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,HLYD,
MEG_4307|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_371|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|ABCA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,ABCA,
MEG_4322|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_8247|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MEXC1,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,MEXC1,
MEG_8452|Drugs|Multi-drug_resistance|MDR_regulator|PARS,Drugs,Multi-drug resistance,MDR regulator,PARS,
MEG_1729|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBD,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CLBD,
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,Drugs,Multi-drug resistance,MDR regulator,ARLS,
MEG_1723|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CIPA,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CIPA,
MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ASMA,
MEG_4359|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_4344|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_3836|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_regulator|MEPR,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux regulator,MEPR,
MEG_3924|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MEXR,
MEG_5828|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACE,
MEG_4083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRD,
MEG_4337|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_4206|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,NORA,
MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXH,
MEG_5797|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|PMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,PMRA,
MEG_5846|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACG,
MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,MMR,
MEG_3760|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,MDTK,
MEG_7641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|VCMA,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,VCMA,
MEG_4365|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_7286|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,TTGA,
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,CPXAR,
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRY,
MEG_4342|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_3908|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXE,
MEG_3913|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXG,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXG,
MEG_1471|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,BMR,
MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux regulator,PHOR,
MEG_2884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,FARA,
MEG_8692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|SDRM,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,SDRM,
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDTM,
MEG_5849|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACJ,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACJ,
MEG_1224|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,BEPD,
MEG_7669|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VEXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,VEXB,
MEG_375|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,ABES,
MEG_2726|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRBSM,
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRA,
MEG_3916|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXJ,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXJ,
MEG_7672|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VEXE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,VEXE,
MEG_9194|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ACRA,
MEG_7296|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|TTGR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,TTGR,
MEG_3514|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,KPNE,
MEG_5843|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACG,
MEG_3912|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXF,
MEG_6525|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,SME,
MEG_6559|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPA,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,SRPA,
MEG_6140|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,RPOS,
