header,type,class,mechanism,group,snp
MEG_861|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_1012|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,
MEG_8037|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|CRCB,Drugs,Aminoglycosides,Aminoglycoside efflux pumps,CRCB,
MEG_10160|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_847|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,
MEG_2973|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMA,Drugs,Fosfomycin,Fosfomycin phosphorylation,FOMA,
MEG_2986|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_8093|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSM,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSM,
MEG_3013|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3001|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3020|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSE,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSE,
MEG_2997|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2974|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,Drugs,Fosfomycin,Fosfomycin phosphorylation,FOMB,
MEG_3017|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSC,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSC,
MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,Drugs,Fosfomycin,Fosfomycin phosphorylation,FOMB,
MEG_11313|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_3021|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSF,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSF,
MEG_2998|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11310|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2982|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11395|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSS,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSS,
MEG_3005|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3023|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSK,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSK,
MEG_2995|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_11242|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3026|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_2983|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11250|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSL,
MEG_369|Drugs|Fosfomycin|Fosfomycin_MFS_efflux_pump|ABAF,Drugs,Fosfomycin,Fosfomycin MFS efflux pump,ABAF,
MEG_3022|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSG,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSG,
MEG_8088|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11312|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3004|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_11241|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11311|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2996|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3027|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSX,
MEG_2990|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_2994|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3010|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_3003|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11244|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_11245|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA,
MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB,
MEG_8452|Drugs|Multi-drug_resistance|MDR_regulator|PARS,Drugs,Multi-drug resistance,MDR regulator,PARS,
MEG_7689|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGAD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGAD,
MEG_4312|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_1727|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBB,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CLBB,
MEG_4310|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_7802|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VMLR,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VMLR,
MEG_1684|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRB,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRB,
MEG_1685|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRC,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRC,
MEG_6084|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|ROSB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,ROSB,
MEG_7684|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_3595|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LMRB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LMRB,
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,Drugs,Multi-drug resistance,MDR regulator,ARLS,
MEG_3658|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MACB,
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LSAE,
MEG_8232|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LPTD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,LPTD,
MEG_3625|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|LPEB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,LPEB,
MEG_7683|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_6558|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SRMB,
MEG_7681|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_10192|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALE,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SALE,
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR,
MEG_8451|Drugs|Multi-drug_resistance|MDR_regulator|PARR,Drugs,Multi-drug resistance,MDR regulator,PARR,
MEG_11432|Drugs|Multi-drug_resistance|ABC-F_ribosomal_protection_protein|VGAF,Drugs,Multi-drug resistance,ABC-F ribosomal protection protein,VGAF,
MEG_4295|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPRA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPRA,
MEG_4321|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_4078|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|MTRAD,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,MTRAD,
MEG_4294|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,OPMH,
MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA,
MEG_1728|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBC,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CLBC,
MEG_4061|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MSBA,
MEG_3657|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MACA,
MEG_1779|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|CMR,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,CMR,
MEG_8690|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALD,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SALD,
MEG_4102|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,MUXC,
MEG_2670|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|DRRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,DRRA,
MEG_3943|Drugs|Multi-drug_resistance|MDR_regulator|MGRA,Drugs,Multi-drug resistance,MDR regulator,MGRA,
MEG_4311|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_7688|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGAB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGAB,
MEG_4307|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,OPTRA,
MEG_1726|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CLBA,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CLBA,
MEG_7287|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,TTGA,
MEG_8649|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACH,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACH,
MEG_3268|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|HMRM,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,HMRM,
MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,MMR,
MEG_7637|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VCEA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,VCEA,
MEG_5823|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,QACAB,
MEG_1186|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,AXY,
MEG_7671|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|VEXD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,VEXD,
MEG_6179|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SEPA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,SEPA,
MEG_689|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEI,
MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,BLT,
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ACRE,
MEG_5841|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACG,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACG,
MEG_4212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|NORM,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,NORM,
MEG_5827|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACE,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACE,
MEG_5834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACF,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACF,
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDTG,
MEG_4329|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXA,
MEG_4369|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_3924|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MEXR,
MEG_4084|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRE,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRE,
MEG_2886|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,FARB,
MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXH,
MEG_5822|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,QACAB,
MEG_1641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,CDEA,
MEG_4353|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_3920|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXN,
MEG_4365|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_4081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRD,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRD,
MEG_731|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,AMRA,
MEG_5794|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|PMPM,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux pumps,PMPM,
MEG_4344|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXB,
MEG_4210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|NORB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,NORB,
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEH,
MEG_706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET2,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADET2,
MEG_5826|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACC,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACC,
MEG_4077|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MTRA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MTRA,
MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDTG,
MEG_6522|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,SME,
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,BCR,
MEG_7772|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEA,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,VMEA,
MEG_7783|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEA,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,VMEA,
MEG_2697|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRA,Biocides,Multi-biocide resistance,Multi-biocide SMR efflux pump,EBRA,
