genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,MEG_3539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE,1209,1706143,1707351,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_7788|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEE,MEG_7788|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEE,1095,891078,892172,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_6612|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6612|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,852,1184965,1185816,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_11396|Metals|Cadmium_resistance|Cadmium_resistance_chaperone|HSCC,MEG_11396|Metals|Cadmium_resistance|Cadmium_resistance_chaperone|HSCC,1680,1431832,1433511,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_11362|Metals|Arsenic_resistance|Arsenic_resistance_N-acetyltransferases|ARSN2,MEG_11362|Metals|Arsenic_resistance|Arsenic_resistance_N-acetyltransferases|ARSN2,444,1485133,1485576,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_498|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA,MEG_498|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA,1626,1679075,1680700,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_11308|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,MEG_11308|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,324,1680961,1681284,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_2928|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,MEG_2928|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,1215,1682105,1683319,+
Clostridioides_difficile,Clostridium_difficille,1779516,1780253,738,MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,3117,1779202,1782318,+
Clostridioides_difficile,Clostridium_difficille,2731316,2732968,1653,MEG_2549|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2549|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,2733381,2733854,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,968146,969852,1707,MEG_7847|Metals|Zinc_resistance|Zinc_resistance_protein|ZIAA,MEG_7847|Metals|Zinc_resistance|Zinc_resistance_protein|ZIAA,2166,968146,970311,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,3124924,3126633,1710,MEG_8805|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8805|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1617,3125383,3126999,+
Enterococcus_faecalis,Enterococcus_faecalis,110300,110794,495,MEG_3283|Metals|Nickel_resistance|Nickel_resistance_protein|HUPE,MEG_3283|Metals|Nickel_resistance|Nickel_resistance_protein|HUPE,576,110300,110875,+
Enterococcus_faecalis,Enterococcus_faecalis,318515,319159,645,MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,MEG_6960|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW,468,318596,319063,+
Enterococcus_faecalis,Enterococcus_faecalis,686369,688471,2103,MEG_6502|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,MEG_6502|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,1386,686273,687658,+
Enterococcus_faecalis,Enterococcus_faecalis,688488,688844,357,MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,465,687675,688139,+
Enterococcus_faecalis,Enterococcus_faecalis,692857,693912,1056,MEG_5396|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY,MEG_5396|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY,2112,692152,694263,+
Enterococcus_faecalis,Enterococcus_faecalis,693942,695021,1080,MEG_6162|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6162|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,522,694293,694814,+
Enterococcus_faecalis,Enterococcus_faecalis,695101,696843,1743,MEG_5953|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5953|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,681,694894,695574,+
Enterococcus_faecalis,Enterococcus_faecalis,696879,697244,366,MEG_8021|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CML,MEG_8021|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CML,1203,695610,696812,+
Enterococcus_faecalis,Enterococcus_faecalis,697377,697748,372,MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,MEG_4203|Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC,1089,696945,698033,+
Enterococcus_faecalis,Enterococcus_faecalis,698134,699873,1740,MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,MEG_7682|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,1569,698419,699987,+
Enterococcus_faecalis,Enterococcus_faecalis,699893,700204,312,MEG_7456|Drugs|Glycopeptides|VanA-type_regulator|VANRA,MEG_7456|Drugs|Glycopeptides|VanA-type_regulator|VANRA,1032,700007,701038,+
Enterococcus_faecalis,Enterococcus_faecalis,982309,983805,1497,MEG_11498|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_11498|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,498,983143,983640,+
Enterococcus_faecalis,Enterococcus_faecalis,1135205,1135685,481,MEG_7325|Metals|Tungsten_Resistance|Tungsten_ABC_efflux_pumps|TUPC,MEG_7325|Metals|Tungsten_Resistance|Tungsten_ABC_efflux_pumps|TUPC,645,1135040,1135684,+
Enterococcus_faecalis,Enterococcus_faecalis,1529260,1531416,2157,MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,MEG_6621|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,816,1529259,1530074,+
Enterococcus_faecalis,Enterococcus_faecalis,1778781,1780508,1728,MEG_4120|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRAN,MEG_4120|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRAN,1299,1777439,1778737,+
Enterococcus_faecalis,Enterococcus_faecalis,1781067,1782120,1054,MEG_7469|Drugs|Glycopeptides|VanB-type_regulator|VANRB,MEG_7469|Drugs|Glycopeptides|VanB-type_regulator|VANRB,663,1779296,1779958,+
Enterococcus_faecalis,Enterococcus_faecalis,2454688,2455842,1155,MEG_2982|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_2982|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,390,2452526,2452915,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,895,2199,1305,MEG_3015|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,MEG_3015|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,420,895,1314,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,36248,37486,1239,MEG_5892|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5892|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,35363,36007,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,60987,64580,3594,MEG_8785|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8785|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,59508,61133,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,64585,65199,615,MEG_2508|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2508|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,61138,61611,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,65615,68316,2702,MEG_5799|Multi-compound|Drug_and_metal_resistance|Drug_and_metal_MFS_efflux_pumps|PMRBM,MEG_5799|Multi-compound|Drug_and_metal_resistance|Drug_and_metal_MFS_efflux_pumps|PMRBM,1095,62027,63121,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,170713,171681,969,MEG_10165|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_10165|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,555,165518,166072,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,226281,226524,244,MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,453,220672,221124,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,226821,227044,224,MEG_7009|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET56,MEG_7009|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET56,1170,221421,222590,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,230136,231778,1643,MEG_6608|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6608|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,831,225682,226512,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,257792,258982,1191,MEG_4056|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,MEG_4056|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,1710,252526,254235,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,350235,350573,339,MEG_3855|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,MEG_3855|Metals|Mercury_resistance|Mercury_resistance_protein|MERB,729,345488,346216,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,350792,351616,825,MEG_3760|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,MEG_3760|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,1425,346435,347859,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,351737,352009,273,MEG_7852|Metals|Zinc_resistance|Zinc_resistance_protein|ZNEB,MEG_7852|Metals|Zinc_resistance|Zinc_resistance_protein|ZNEB,1158,347980,349137,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,371421,373543,2123,MEG_11454|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_11454|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,368549,370174,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,374956,382403,7448,MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,MEG_2834|Drugs|MLS|23S_rRNA_methyltransferases|ERMG,735,371587,372321,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,394801,396653,1853,MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,699,384719,385417,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,433777,434943,1167,MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,555,422541,423095,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,476193,477598,1406,MEG_8784|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8784|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,464345,465970,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,515894,516544,651,MEG_7547|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,MEG_7547|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,609,504266,504874,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,533414,533641,228,MEG_4125|Metals|Multi-metal_resistance|Multi-metal_MFS_efflux_pumps|NCRC,MEG_4125|Metals|Multi-metal_resistance|Multi-metal_MFS_efflux_pumps|NCRC,696,521744,522439,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,597759,598505,747,MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,525,586557,587081,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,612826,614363,1538,MEG_3657|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACA,MEG_3657|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACA,1179,601402,602580,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,614442,615374,933,MEG_2663|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,MEG_2663|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,489,602659,603147,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,650772,651338,567,MEG_3666|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3666|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1617,638545,640161,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,813494,814867,1374,MEG_11247|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_11247|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,423,802317,802739,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,822438,823019,582,MEG_6977|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET35,MEG_6977|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET35,1602,810310,811911,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,884896,885577,682,MEG_3018|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD,MEG_3018|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSD,420,873788,874207,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,886713,887048,336,MEG_9964|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,MEG_9964|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,654,875343,875996,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,941277,941669,393,MEG_2662|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,MEG_2662|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,519,930225,930743,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,945817,946206,390,MEG_7281|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|TROD,MEG_7281|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|TROD,1104,934891,935994,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,946220,946654,435,MEG_1907|Drugs|betalactams|Class_C_betalactamases|CMY,MEG_1907|Drugs|betalactams|Class_C_betalactamases|CMY,1146,936008,937153,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,987113,989392,2280,MEG_1707|Metals|Chromium_resistance|Chromium_resistance_protein|CHRA,MEG_1707|Metals|Chromium_resistance|Chromium_resistance_protein|CHRA,1206,977612,978817,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,989912,990673,762,MEG_6168|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6168|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,570,979337,979906,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1001554,1002954,1401,MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,438,990787,991224,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1003110,1004645,1536,MEG_3670|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3670|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,991380,993005,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1070324,1071906,1583,MEG_2665|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,MEG_2665|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,489,1058684,1059172,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1114770,1115538,769,MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2493|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,1102036,1102509,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1117560,1120237,2678,MEG_1230|Metals|Iron_resistance|Iron_resistance_protein|BFRA,MEG_1230|Metals|Iron_resistance|Iron_resistance_protein|BFRA,480,1104531,1105010,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1203233,1204021,789,MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,774,1188006,1188779,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1288994,1289407,414,MEG_6158|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6158|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,555,1273752,1274306,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1310067,1311167,1101,MEG_11386|Drugs|Lipopeptides|Daptomycin_efflux_regulator|DRCR,MEG_11386|Drugs|Lipopeptides|Daptomycin_efflux_regulator|DRCR,672,1294966,1295637,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1322847,1323125,279,MEG_1159|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,MEG_1159|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,420,1307317,1307736,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1347199,1348740,1542,MEG_11323|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,MEG_11323|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,1083,1331810,1332892,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1348880,1349416,537,MEG_715|Metals|Arsenic_resistance|Arsenite_oxidase_regulator|AIOR,MEG_715|Metals|Arsenic_resistance|Arsenite_oxidase_regulator|AIOR,1329,1333032,1334360,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1365270,1365536,267,MEG_11332|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,MEG_11332|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,351,1350214,1350564,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1381839,1382678,840,MEG_7272|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIAP,MEG_7272|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIAP,618,1366867,1367484,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1425125,1425382,258,MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,980,1409931,1410910,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1425623,1426255,633,MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,1411151,1411795,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1469128,1470336,1209,MEG_5413|Metals|Lead_resistance|Lead_P-type_ATPase_regulator|PBRR,MEG_5413|Metals|Lead_resistance|Lead_P-type_ATPase_regulator|PBRR,453,1454668,1455120,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1478965,1480191,1227,MEG_6942|Drugs|betalactams|Class_A_betalactamases|TEM,MEG_6942|Drugs|betalactams|Class_A_betalactamases|TEM,1123,1463749,1464871,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1543874,1544341,468,MEG_7543|Drugs|Glycopeptides|VanG-type_accessory_protein|VANWG,MEG_7543|Drugs|Glycopeptides|VanG-type_accessory_protein|VANWG,846,1528554,1529399,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1550914,1551495,582,MEG_6607|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6607|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,840,1535972,1536811,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1661150,1662227,1078,MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,786,1646466,1647251,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1712870,1714618,1749,MEG_2576|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,MEG_2576|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,520,1697894,1698413,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1799343,1800065,723,MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,420,1783138,1783557,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1806344,1807576,1233,MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,MEG_3080|Biocides|Acid_resistance|Acid_resistance_regulator|GADE,528,1789836,1790363,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1817397,1818629,1233,MEG_7243|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,MEG_7243|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,1167,1800184,1801350,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1849527,1849994,468,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,1644,1832248,1833891,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1905565,1906623,1059,MEG_1137|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,MEG_1137|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,453,1889462,1889914,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1906625,1908088,1464,MEG_9662|Drugs|betalactams|Class_A_betalactamases|OXY,MEG_9662|Drugs|betalactams|Class_A_betalactamases|OXY,876,1889916,1890791,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1908533,1909321,789,MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,723,1891236,1891958,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1918354,1919295,942,MEG_11429|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERA,MEG_11429|Metals|Tellurium_resistance|Tellurium_resistance_protein|TERA,1152,1900991,1902142,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1981447,1982124,678,MEG_3134|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESC,MEG_3134|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESC,1512,1964294,1965805,+
Escherichia_coli_B1109,Escherichia_coli_chromosome,1986316,1986459,144,MEG_2877|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL,MEG_2877|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL,753,1969997,1970749,+
