SNP_accession,S021_rd100m_R01_100bp_97ani_V4Full,S022_rd100m_R02_100bp_97ani_V4Full,S023_rd100m_R03_100bp_97ani_V4Full,S024_rd100m_R04_100bp_97ani_V4Full,S025_rd100m_R05_100bp_97ani_V4Full,S026_rd100m_R06_100bp_97ani_V4Full,S027_rd100m_R07_100bp_97ani_V4Full,S028_rd100m_R08_100bp_97ani_V4Full,S029_rd100m_R09_100bp_97ani_V4Full,S030_rd100m_R10_100bp_97ani_V4Full
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_945_C,0,7,22,2,3,26,0,5,25,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_983_C,0,6,16,1,2,22,0,5,18,0
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_T_289_C,2,3,10,0,3,6,1,2,9,0
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_C_301_T,3,4,12,0,4,7,1,2,10,4
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_A_392_C,4,4,14,0,2,15,0,3,14,4
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_304_C,1,11,31,2,5,29,0,11,17,2
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_C_316_T,1,11,36,2,5,33,0,12,20,2
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_407_C,1,6,28,3,4,29,0,10,20,2
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_435_G,0,0,0,1,1,2,0,1,3,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_G_713_A,0,1,1,1,1,0,1,1,2,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_725_C,0,1,1,1,1,0,1,1,2,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_728_C,0,1,1,1,1,0,1,1,2,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_G_899_A,2,10,17,2,4,22,1,10,13,3
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_934_C,2,10,17,2,4,22,1,10,13,3
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_972_C,2,8,14,2,3,17,1,5,9,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_T_269_C,1,2,14,0,5,8,1,5,6,2
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_C_281_T,1,5,18,0,5,12,1,6,7,2
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_A_372_C,2,7,15,0,3,11,0,5,12,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_T_400_G,0,1,0,0,0,2,0,1,2,0
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME|MEG_14|AAC2-PRIME-14_G_282_T,6,18,7,4,3,0,0,0,0,0
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME|MEG_14|AAC2-PRIME-14_C_521_G,9,10,7,2,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_t_41_A,0,14,0,0,0,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_t_74_G,0,22,1,0,0,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_a_123_T,0,30,2,0,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_185_T,0,37,1,0,3,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_261_G,0,38,1,0,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_g_436_C,1,29,1,0,3,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_567_T,0,21,2,0,1,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_684_A,1,43,2,0,4,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_g_726_C,1,39,2,0,3,0,0,0,0,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_T_17_C,0,0,0,0,0,0,2,2,2,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_18_C,0,0,0,0,0,0,2,3,2,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_94_A,0,0,0,0,0,3,13,8,11,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_195_A,0,0,0,0,0,1,15,8,21,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_483_T,0,0,0,0,0,1,9,4,15,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_540_T,0,0,0,0,0,1,8,5,11,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_751_G,0,0,0,0,0,0,13,4,12,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_829_A,0,0,0,0,0,0,4,1,7,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_T_41_A,0,15,1,0,3,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_T_74_G,1,23,3,0,3,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_A_123_T,1,29,3,0,1,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_185_T,0,27,2,0,1,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_261_G,0,20,1,0,1,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_G_436_C,0,24,2,0,1,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_567_T,0,24,0,0,0,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_684_A,0,12,1,0,0,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_G_43_T,0,9,2,1,2,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_A_51_C,0,10,2,2,3,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_G_58_T,0,12,3,2,5,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_A_491_C,0,11,3,2,4,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_T_613_A,0,15,3,1,4,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_T_692_C,0,9,2,3,5,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_423_C,1,6,6,2,1,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_a_621_C,3,8,0,0,1,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_675_C,3,1,3,0,1,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_939_A,2,2,0,0,2,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_a_961_T,5,12,0,0,2,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_a_989_T,4,12,0,0,1,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_g_1351_C,1,10,0,0,5,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_g_56_T,3,0,0,0,2,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_81_A,4,1,0,0,3,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_c_85_G,4,1,0,0,3,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_g_205_T,2,4,0,2,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_389_A,2,1,0,0,3,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_432_G,2,0,0,0,3,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_t_59_A,0,5,0,0,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_t_110_G,0,5,0,0,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_t_222_G,0,3,0,2,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_c_247_G,0,4,0,2,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_g_305_A,0,7,0,1,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_t_325_C,0,6,0,0,0,0,0,0,0,0
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_86|AAC6-PRIME-86_g_411_T,0,2,0,1,1,0,0,0,0,0
MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_109|AAC6-PRIME-109_t_59_A,0,0,1,0,3,0,0,0,0,0
MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_110|AAC6-PRIME-110_a_149_G,0,0,0,0,0,0,0,2,1,2
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_134|AAC6-PRIME-134_c_216_A,0,0,0,0,0,0,0,2,3,0
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_134|AAC6-PRIME-134_c_347_T,0,0,0,0,0,0,1,0,6,0
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_134|AAC6-PRIME-134_c_372_T,0,0,0,0,0,0,1,0,6,0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_137|AAC6-PRIME-137_c_61_G,3,3,0,0,1,0,0,0,0,0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_137|AAC6-PRIME-137_a_503_G,0,3,0,1,1,0,0,0,0,0
MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_142|AAC6-PRIME-142_t_110_G,0,2,0,1,1,0,0,0,0,0
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_64_A,0,0,0,0,0,3,0,0,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_68_G,0,0,0,0,0,3,0,1,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_111_T,0,0,0,0,0,4,0,1,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_167_C,0,0,0,0,0,3,0,1,0,1
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_a_212_T,0,0,0,0,0,5,0,0,0,1
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_a_245_G,0,0,0,0,0,7,0,0,0,4
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_311_A,0,0,0,0,0,10,0,0,1,3
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_414_C,0,0,0,0,0,3,0,0,2,0
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_154|AAC6-PRIME-154_c_100_A,0,0,1,1,6,0,0,0,0,0
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_154|AAC6-PRIME-154_g_101_T,0,0,1,1,6,0,0,0,0,0
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_154|AAC6-PRIME-154_t_169_A,0,0,1,1,5,0,0,0,0,0
MEG_178|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_178|AAC6-PRIME-178_g_96_A,0,3,5,0,0,0,0,0,0,0
MEG_178|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_178|AAC6-PRIME-178_a_228_C,1,1,6,0,0,0,0,0,0,0
MEG_178|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_178|AAC6-PRIME-178_a_286_C,0,1,6,0,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_90_G,13,0,2,4,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_g_176_T,4,0,0,5,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_g_372_C,8,1,1,5,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_412_A,7,1,0,2,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_489_G,7,0,1,1,0,0,0,0,0,0
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_21_C,0,0,0,0,0,0,3,0,1,0
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_98_A,0,0,0,0,0,2,7,0,3,2
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_166_T,0,0,0,0,0,1,3,0,2,2
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_c_170_G,0,0,0,0,0,1,3,0,2,3
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_t_224_C,0,0,0,0,0,0,2,1,3,2
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_c_327_A,0,0,0,0,0,1,1,2,5,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_328_C,0,0,0,0,0,1,1,2,4,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_456_A,0,0,0,0,0,0,2,0,0,3
MEG_215|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_215|AAC6-PRIME-215_g_251_A,0,0,0,0,0,0,0,4,0,0
MEG_233|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_233|AAC6-PRIME-233_a_397_C,0,0,0,0,0,0,2,3,0,0
MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_237|AAC6-PRIME-237_t_97_G,0,0,0,0,0,0,2,8,2,0
MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_237|AAC6-PRIME-237_t_546_C,0,0,0,0,0,0,0,5,1,0
MEG_244|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_244|AAC6-PRIME-244_t_377_C,0,0,0,0,0,0,0,6,0,0
MEG_244|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_244|AAC6-PRIME-244_a_410_G,0,0,0,0,0,1,0,5,0,0
MEG_244|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_244|AAC6-PRIME-244_g_472_A,0,0,0,0,0,1,0,5,2,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_t_146_C,0,0,0,0,0,0,2,1,6,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_g_225_C,0,0,0,0,0,0,2,0,2,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_t_229_A,0,0,0,0,0,0,2,0,2,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_52_C,8,4,13,0,1,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_a_107_G,10,6,16,0,1,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_127_A,9,6,16,0,2,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_216_C,4,5,5,0,1,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_a_283_C,5,5,5,0,1,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_t_379_A,4,4,7,0,0,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_c_521_G,6,2,5,0,0,0,0,0,0,0
MEG_266|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_266|AAC6-PRIME-266_g_52_C,3,2,5,1,0,0,0,0,0,0
MEG_266|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_266|AAC6-PRIME-266_a_107_G,4,3,9,1,0,0,0,0,0,0
