SNP_accession,S011_rd050m_R01_100bp_97ani_V4Full,S012_rd050m_R02_100bp_97ani_V4Full,S013_rd050m_R03_100bp_97ani_V4Full,S014_rd050m_R04_100bp_97ani_V4Full,S015_rd050m_R05_100bp_97ani_V4Full,S016_rd050m_R06_100bp_97ani_V4Full,S017_rd050m_R07_100bp_97ani_V4Full,S018_rd050m_R08_100bp_97ani_V4Full,S019_rd050m_R09_100bp_97ani_V4Full,S020_rd050m_R10_100bp_97ani_V4Full
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_945_C,12,18,9,2,114,2,2,1,2,6
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_983_C,6,17,7,1,86,1,1,1,2,5
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_T_289_C,3,5,3,0,46,1,3,1,1,1
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_C_301_T,5,6,3,0,60,2,4,1,2,1
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_A_392_C,8,4,1,3,67,2,4,0,4,4
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_5|A16S-5_T_420_G,0,0,0,0,9,0,1,0,0,1
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_6|A16S-6_A_1136_G,2,0,0,0,0,0,0,0,0,2
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_6|A16S-6_T_1138_C,2,0,0,0,0,0,0,0,0,2
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_6|A16S-6_T_1142_C,2,0,0,0,0,0,0,0,0,2
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_279_T,0,0,1,0,4,0,0,0,0,0
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_304_C,15,7,4,5,151,5,2,2,2,10
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_C_316_T,16,8,6,6,177,6,2,3,4,10
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_407_C,16,9,5,3,145,5,1,1,4,8
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_435_G,2,0,0,0,8,1,0,0,2,1
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_G_713_A,2,0,1,2,26,0,0,0,0,4
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_725_C,2,0,1,2,26,0,0,0,0,4
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_A_728_C,2,0,1,2,26,0,0,0,0,4
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_G_899_A,12,6,11,1,96,4,2,1,4,7
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_934_C,12,6,11,1,96,4,2,1,4,7
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_9|A16S-9_T_972_C,7,6,7,1,71,3,1,0,3,5
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_T_269_C,2,4,2,0,48,2,3,2,1,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_C_281_T,2,7,2,2,65,2,3,2,1,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_A_372_C,5,9,2,3,66,2,0,3,0,3
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_11|A16S-11_T_400_G,1,3,1,1,3,0,0,0,0,0
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME|MEG_14|AAC2-PRIME-14_G_282_T,3,0,3,14,3,0,0,0,0,0
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME|MEG_14|AAC2-PRIME-14_C_521_G,3,0,2,9,3,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_t_41_A,1,2,0,0,1,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_t_74_G,2,2,2,0,1,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_a_123_T,2,1,3,0,3,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_185_T,2,3,3,0,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_261_G,0,2,3,0,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_g_436_C,1,2,2,0,1,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_567_T,1,3,0,0,2,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_c_684_A,1,3,0,0,1,0,0,0,0,0
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_32|AAC3-32_g_726_C,1,3,1,0,0,0,0,0,0,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_18_C,0,0,0,0,0,0,2,0,2,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_94_A,0,0,0,0,0,3,14,1,6,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_195_A,0,0,0,0,0,4,17,1,7,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_483_T,0,0,0,0,0,2,19,0,6,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_540_T,0,0,0,0,0,3,18,1,8,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_C_751_G,0,0,0,0,0,5,28,0,11,0
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_48|AAC3-48_G_829_A,0,0,0,0,0,2,14,0,6,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_T_74_G,1,2,2,0,0,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_A_123_T,2,1,1,0,0,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_185_T,2,1,1,0,0,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_261_G,0,2,1,0,1,0,0,0,0,0
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_51|AAC3-51_C_567_T,0,3,0,0,1,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_G_43_T,0,0,5,0,3,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_A_51_C,0,0,7,0,3,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_G_58_T,0,0,7,0,3,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_A_491_C,0,3,7,1,6,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_T_613_A,0,1,8,5,3,0,0,0,0,0
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3|MEG_61|AAC3-61_T_692_C,0,2,8,4,3,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_423_C,1,3,4,0,0,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_a_621_C,1,2,0,0,1,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_675_C,5,0,15,0,3,0,0,0,0,0
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_75|AAC6-PRIME-75_t_939_A,0,2,7,0,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_g_56_T,24,0,0,1,0,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_81_A,28,0,0,1,0,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_c_85_G,28,0,0,1,0,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_g_205_T,23,0,0,1,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_g_279_T,12,0,0,0,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_a_284_C,11,0,0,0,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_307_C,6,0,0,0,2,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_321_C,10,0,0,0,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_389_A,11,0,0,0,1,0,0,0,0,0
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_80|AAC6-PRIME-80_t_432_G,7,0,0,0,1,0,0,0,0,0
MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_109|AAC6-PRIME-109_a_361_C,0,0,3,1,0,0,0,0,0,0
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_134|AAC6-PRIME-134_c_347_T,0,0,0,0,0,2,2,2,0,0
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_134|AAC6-PRIME-134_c_372_T,0,0,0,0,0,3,2,2,0,0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_137|AAC6-PRIME-137_c_61_G,3,1,3,1,3,0,0,0,0,0
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_137|AAC6-PRIME-137_a_503_G,1,2,1,1,1,0,0,0,0,0
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_64_A,0,0,0,0,0,0,0,9,1,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_68_G,0,0,0,0,0,0,0,9,1,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_111_T,0,0,0,0,0,0,0,11,1,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_167_C,0,0,0,0,0,0,0,6,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_201_A,0,0,0,0,0,0,0,2,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_a_212_T,0,0,0,0,0,0,0,2,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_a_245_G,0,0,0,0,0,0,0,2,0,2
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_c_311_A,0,0,0,0,0,0,0,3,1,1
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_147|AAC6-PRIME-147_g_414_C,0,0,0,0,0,0,0,4,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_90_G,6,1,4,2,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_g_176_T,1,1,2,3,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_g_372_C,1,1,5,2,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_412_A,1,1,5,1,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_c_489_G,0,1,3,4,0,0,0,0,0,0
MEG_182|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_182|AAC6-PRIME-182_t_530_G,0,1,2,3,0,0,0,0,0,0
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_21_C,0,0,0,0,0,0,5,1,0,2
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_98_A,0,0,0,0,0,4,12,1,0,3
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_166_T,0,0,0,0,0,4,12,1,1,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_c_170_G,0,0,0,0,0,4,12,1,1,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_t_224_C,0,0,0,0,0,1,9,1,0,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_c_327_A,0,0,0,0,0,4,8,1,2,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_328_C,0,0,0,0,0,4,8,1,2,1
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_192|AAC6-PRIME-192_g_456_A,0,0,0,0,0,2,6,0,1,1
MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_237|AAC6-PRIME-237_t_97_G,0,0,0,0,0,0,5,2,0,0
MEG_244|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_244|AAC6-PRIME-244_a_410_G,0,0,0,0,0,0,0,2,2,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_t_146_C,0,0,0,0,0,2,8,0,0,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_g_225_C,0,0,0,0,0,2,4,0,0,0
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_262|AAC6-PRIME-262_t_229_A,0,0,0,0,0,2,4,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_52_C,0,0,0,4,0,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_a_107_G,0,0,0,5,0,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_127_A,0,0,0,6,0,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_g_216_C,1,0,0,2,2,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_t_379_A,0,0,0,3,1,0,0,0,0,0
MEG_265|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_265|AAC6-PRIME-265_c_521_G,0,0,0,3,2,0,0,0,0,0
MEG_266|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_266|AAC6-PRIME-266_c_521_G,0,2,0,0,2,0,0,0,0,0
MEG_273|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_273|AAC6-PRIME-273_C_151_A,0,0,0,0,0,1,0,3,0,0
MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_294|AAC6-PRIME-294_G_319_C,3,0,0,1,0,0,0,0,0,0
MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_294|AAC6-PRIME-294_T_410_G,4,0,0,0,1,0,0,0,0,0
MEG_294|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_294|AAC6-PRIME-294_A_430_G,4,0,0,0,0,0,0,0,0,0
MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_308|AAC6-PRIME-308_C_27_A,0,0,0,0,0,0,4,1,1,1
MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_308|AAC6-PRIME-308_A_412_C,0,0,0,0,0,1,4,0,1,0
MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_308|AAC6-PRIME-308_A_466_G,0,0,0,0,0,1,4,0,0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_310|AAC6-PRIME-310_C_42_A,1,2,2,0,0,0,0,0,0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_310|AAC6-PRIME-310_G_102_T,1,3,1,1,0,0,0,0,0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_310|AAC6-PRIME-310_G_372_C,3,0,1,1,0,0,0,0,0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_310|AAC6-PRIME-310_T_438_C,4,3,0,0,0,0,0,0,0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_310|AAC6-PRIME-310_A_486_T,3,3,0,0,0,0,0,0,0,0
MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_316|AAC6-PRIME-316_T_423_C,4,4,7,0,4,0,0,0,0,0
MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_316|AAC6-PRIME-316_A_621_C,1,1,0,0,2,0,0,0,0,0
MEG_316|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME|MEG_316|AAC6-PRIME-316_T_675_C,3,4,13,1,1,0,0,0,0,0
